Ensembl Gene ID	Ensembl Transcript ID	Gene Start (bp)	Gene End (bp)	Chromosome Name	Gene type
ENSG00000216054	ENST00000401235	158298062	158298151	2	miRNA
ENSG00000215934	ENST00000401115	158711782	158711858	2	miRNA
ENSG00000207963	ENST00000385228	170824453	170824548	3	miRNA
ENSG00000211997	ENST00000390708	79113066	79113153	11	miRNA
ENSG00000264297	ENST00000581329	64567893	64567973	2	miRNA
ENSG00000266570	ENST00000580400	79133213	79133270	11	miRNA
ENSG00000252662	ENST00000516853	63320463	63320543	3	miRNA
ENSG00000264641	ENST00000580940	127659112	127659211	9	miRNA
ENSG00000221551	ENST00000408624	79403423	79403573	11	miRNA
ENSG00000239118	ENST00000458813	70064249	70064325	16	miRNA
ENSG00000207715	ENST00000384982	2317788	2317881	16	miRNA
ENSG00000266643	ENST00000578964	2320714	2320773	16	miRNA
ENSG00000264004	ENST00000584656	2324621	2324692	16	miRNA
ENSG00000216027	ENST00000401208	61529667	61529756	4	miRNA
ENSG00000264742	ENST00000584111	17007750	17007823	1	miRNA
ENSG00000265829	ENST00000579932	61788337	61788402	4	miRNA
ENSG00000264081	ENST00000582637	59230521	59230607	1	miRNA
ENSG00000265911	ENST00000581281	125787907	125787990	3	miRNA
ENSG00000264110	ENST00000581016	81601783	81601878	11	miRNA
ENSG00000264831	ENST00000583107	209796789	209796855	1	miRNA
ENSG00000221768	ENST00000408841	129293194	129293270	9	miRNA
ENSG00000221173	ENST00000408246	129338809	129338909	9	miRNA
ENSG00000269782	ENST00000600745	15560359	15560419	19	miRNA
ENSG00000252949	ENST00000517140	20422549	20422632	6	miRNA
ENSG00000264130	ENST00000584039	176959234	176959339	4	miRNA
ENSG00000266144	ENST00000577581	162126897	162126972	1	miRNA
ENSG00000207729	ENST00000384996	162312336	162312430	1	miRNA
ENSG00000221516	ENST00000408589	130981830	130981910	11	miRNA
ENSG00000265237	ENST00000582487	159901409	159901490	5	miRNA
ENSG00000239192	ENST00000459451	160091594	160091688	5	miRNA
ENSG00000266150	ENST00000578274	60198899	60198968	1	miRNA
ENSG00000221499	ENST00000408572	178465631	178465718	4	miRNA
ENSG00000265085	ENST00000585196	63461095	63461180	4	miRNA
ENSG00000221002	ENST00000408075	160657057	160657154	5	miRNA
ENSG00000263948	ENST00000585005	161264321	161264393	2	miRNA
ENSG00000266403	ENST00000579759	129480522	129480612	9	miRNA
ENSG00000264480	ENST00000580728	99327655	99327731	15	miRNA
ENSG00000264563	ENST00000584064	128433381	128433459	5	miRNA
ENSG00000265691	ENST00000577862	128732755	128732840	5	miRNA
ENSG00000264771	ENST00000581052	99797744	99797875	15	miRNA
ENSG00000221488	ENST00000408561	211384331	211384424	1	miRNA
ENSG00000264637	ENST00000584740	51264009	51264094	11	miRNA
ENSG00000265553	ENST00000579646	120328476	120328576	2	miRNA
ENSG00000265211	ENST00000583959	50388118	50388209	X	miRNA
ENSG00000263380	ENST00000584315	61549127	61549202	1	miRNA
ENSG00000264329	ENST00000577791	130452966	130453074	9	miRNA
ENSG00000266637	ENST00000579282	12038198	12038263	8	miRNA
ENSG00000265856	ENST00000581346	91800057	91800167	14	miRNA
ENSG00000266070	ENST00000583311	130548112	130548202	9	miRNA
ENSG00000221590	ENST00000408663	162206728	162206871	2	miRNA
ENSG00000264551	ENST00000580743	62094703	62094793	1	miRNA
ENSG00000266232	ENST00000581887	2581923	2582006	16	miRNA
ENSG00000263954	ENST00000578911	129613318	129613386	5	miRNA
ENSG00000263908	ENST00000584654	62544458	62544531	1	miRNA
ENSG00000264857	ENST00000578474	101925912	101925996	2	miRNA
ENSG00000263811	ENST00000583661	17185444	17185516	1	miRNA
ENSG00000253046	ENST00000517237	162775292	162775376	2	miRNA
ENSG00000222080	ENST00000410148	211826798	211826891	1	miRNA
ENSG00000211996	ENST00000390707	130068882	130068964	6	miRNA
ENSG00000216047	ENST00000401228	130538484	130538576	X	miRNA
ENSG00000263979	ENST00000583126	130631694	130631774	9	miRNA
ENSG00000266634	ENST00000582732	17604384	17604470	1	miRNA
ENSG00000263391	ENST00000583229	24840195	24840293	6	miRNA
ENSG00000211573	ENST00000390147	204629430	204629521	2	miRNA
ENSG00000212086	ENST00000390797	164953139	164953229	1	miRNA
ENSG00000221691	ENST00000408764	100291924	100292010	15	miRNA
ENSG00000264074	ENST00000581574	165280035	165280116	2	miRNA
ENSG00000221486	ENST00000408559	9974207	9974321	17	miRNA
ENSG00000264358	ENST00000577243	212250955	212251027	1	miRNA
ENSG00000264764	ENST00000581495	103048749	103048826	2	miRNA
ENSG00000253082	ENST00000517273	65003238	65003321	2	miRNA
ENSG00000266556	ENST00000577460	130755410	130755498	6	miRNA
ENSG00000265176	ENST00000580198	153246548	153246628	X	miRNA
ENSG00000264056	ENST00000579080	53141791	53141869	6	miRNA
ENSG00000264408	ENST00000583453	62627347	62627418	8	miRNA
ENSG00000211524	ENST00000390190	153285371	153285440	X	miRNA
ENSG00000266704	ENST00000577599	120593238	120593303	12	miRNA
ENSG00000265615	ENST00000583717	40320420	40320517	5	miRNA
ENSG00000263421	ENST00000583618	3877292	3877371	11	miRNA
ENSG00000263913	ENST00000582675	120609843	120609930	12	miRNA
ENSG00000266226	ENST00000582929	42637597	42637665	19	miRNA
ENSG00000265214	ENST00000578980	63081468	63081547	7	miRNA
ENSG00000265826	ENST00000580058	12280513	12280578	8	miRNA
ENSG00000265122	ENST00000583464	42697230	42697281	19	miRNA
ENSG00000221234	ENST00000408307	166670725	166670864	2	miRNA
ENSG00000212065	ENST00000390776	53321245	53321330	6	miRNA
ENSG00000207581	ENST00000384849	131007000	131007109	9	miRNA
ENSG00000264823	ENST00000577829	131007226	131007309	9	miRNA
ENSG00000264783	ENST00000582532	153722476	153722545	X	miRNA
ENSG00000266727	ENST00000583469	17740127	17740190	1	miRNA
ENSG00000221297	ENST00000408370	131019986	131020068	9	miRNA
ENSG00000221372	ENST00000408445	41823526	41823632	2	miRNA
ENSG00000266807	ENST00000580314	132113312	132113371	6	miRNA
ENSG00000221511	ENST00000408584	100332502	100332584	15	miRNA
ENSG00000221714	ENST00000408787	12384247	12384350	8	miRNA
ENSG00000252038	ENST00000516229	19734941	19735035	Y	miRNA
ENSG00000238460	ENST00000458954	12435514	12435661	8	miRNA
ENSG00000211995	ENST00000390706	108266635	108266726	8	miRNA
ENSG00000264470	ENST00000582305	65045530	65045606	1	miRNA
ENSG00000238323	ENST00000459100	12493613	12493761	8	miRNA
ENSG00000265606	ENST00000577305	19209696	19209769	1	miRNA
ENSG00000221662	ENST00000408735	19223565	19223642	1	miRNA
ENSG00000266098	ENST00000582644	19410046	19410145	1	miRNA
ENSG00000221026	ENST00000408099	213783039	213783183	1	miRNA
ENSG00000265669	ENST00000584644	132436332	132436403	6	miRNA
ENSG00000266862	ENST00000578020	21461887	21461986	7	miRNA
ENSG00000215952	ENST00000401133	166123980	166124035	1	miRNA
ENSG00000221783	ENST00000408856	21510676	21510764	7	miRNA
ENSG00000221030	ENST00000408103	4467872	4467957	11	miRNA
ENSG00000221533	ENST00000408606	154115635	154115733	X	miRNA
ENSG00000263927	ENST00000578695	22419623	22419720	7	miRNA
ENSG00000263468	ENST00000579223	207647958	207648032	2	miRNA
ENSG00000264238	ENST00000583770	25203481	25203568	6	miRNA
ENSG00000264891	ENST00000580080	131239184	131239275	9	miRNA
ENSG00000265996	ENST00000580455	65523438	65523525	1	miRNA
ENSG00000253008	ENST00000517199	207974711	207974797	2	miRNA
ENSG00000199135	ENST00000362265	65524117	65524191	1	miRNA
ENSG00000265694	ENST00000583305	169439453	169439528	2	miRNA
ENSG00000253017	ENST00000517208	25408123	25408199	6	miRNA
ENSG00000263597	ENST00000584304	131701182	131701291	5	miRNA
ENSG00000221628	ENST00000408701	208133999	208134148	2	miRNA
ENSG00000207834	ENST00000385099	23006898	23006993	22	miRNA
ENSG00000221808	ENST00000408881	21314807	21314925	1	miRNA
ENSG00000264720	ENST00000584034	67094123	67094200	1	miRNA
ENSG00000221655	ENST00000408728	67196650	67196741	1	miRNA
ENSG00000221321	ENST00000408394	121792649	121792794	2	miRNA
ENSG00000221521	ENST00000408594	131869329	131869430	9	miRNA
ENSG00000221733	ENST00000408806	67705123	67705210	1	miRNA
ENSG00000207830	ENST00000385095	23040391	23040485	22	miRNA
ENSG00000264900	ENST00000581168	208619531	208619605	2	miRNA
ENSG00000264629	ENST00000579613	23077063	23077157	22	miRNA
ENSG00000266867	ENST00000584440	21503059	21503122	1	miRNA
ENSG00000220992	ENST00000408065	131992851	131992996	9	miRNA
ENSG00000266793	ENST00000578149	56297177	56297240	6	miRNA
ENSG00000215979	ENST00000401160	26365704	26365780	6	miRNA
ENSG00000221654	ENST00000408727	105185275	105185378	2	miRNA
ENSG00000264794	ENST00000582664	113487830	113487915	8	miRNA
ENSG00000263542	ENST00000581793	68523860	68523945	1	miRNA
ENSG00000221227	ENST00000408300	183090446	183090531	4	miRNA
ENSG00000265534	ENST00000579604	116028272	116028364	1	miRNA
ENSG00000221203	ENST00000408276	68649201	68649293	1	miRNA
ENSG00000238399	ENST00000459295	113655722	113655812	8	miRNA
ENSG00000221186	ENST00000408259	183747381	183747518	4	miRNA
ENSG00000221534	ENST00000408607	51614874	51614965	17	miRNA
ENSG00000221610	ENST00000408683	114419756	114419823	8	miRNA
ENSG00000264711	ENST00000579277	172389349	172389429	3	miRNA
ENSG00000221781	ENST00000408854	21918904	21919041	1	miRNA
ENSG00000273236	ENST00000582891	54530502	54530601	HSCHR19LRC_LRC_T_CTG1	miRNA
ENSG00000252240	ENST00000516431	219836719	219836809	1	miRNA
ENSG00000264512	ENST00000582551	12576636	12576704	8	miRNA
ENSG00000207590	ENST00000384858	220291195	220291304	1	miRNA
ENSG00000207624	ENST00000384892	220291499	220291583	1	miRNA
ENSG00000263395	ENST00000582041	184305706	184305773	4	miRNA
ENSG00000264965	ENST00000581217	37807254	37807349	8	miRNA
ENSG00000266206	ENST00000578598	12584741	12584813	8	miRNA
ENSG00000265371	ENST00000577868	54625181	54625260	12	miRNA
ENSG00000264298	ENST00000578012	132240835	132240931	9	miRNA
ENSG00000263576	ENST00000578452	33387463	33387564	10	miRNA
ENSG00000199122	ENST00000362252	54731000	54731098	12	miRNA
ENSG00000207835	ENST00000385100	23101185	23101279	22	miRNA
ENSG00000264793	ENST00000582617	87421909	87421982	2	miRNA
ENSG00000207833	ENST00000385098	23134977	23135071	22	miRNA
ENSG00000207836	ENST00000385101	23165270	23165365	22	miRNA
ENSG00000221523	ENST00000408596	185188510	185188584	4	miRNA
ENSG00000266564	ENST00000581169	22592732	22592793	1	miRNA
ENSG00000207832	ENST00000385097	23198720	23198813	22	miRNA
ENSG00000265422	ENST00000581646	23046010	23046091	1	miRNA
ENSG00000216157	ENST00000401338	23075310	23075404	1	miRNA
ENSG00000264014	ENST00000581187	23189652	23189719	1	miRNA
ENSG00000264824	ENST00000577998	23228447	23228559	22	miRNA
ENSG00000264463	ENST00000584104	12763347	12763430	8	miRNA
ENSG00000263793	ENST00000577915	23370798	23370865	1	miRNA
ENSG00000264419	ENST00000585049	117102646	117102733	1	miRNA
ENSG00000238532	ENST00000458881	117134728	117134821	1	miRNA
ENSG00000266802	ENST00000583845	23384351	23384427	1	miRNA
ENSG00000211543	ENST00000390209	117214371	117214449	1	miRNA
ENSG00000264903	ENST00000583869	165586438	165586525	5	miRNA
ENSG00000221069	ENST00000408142	23478807	23478897	22	miRNA
ENSG00000266020	ENST00000583255	171772719	171772804	2	miRNA
ENSG00000221563	ENST00000408636	67142542	67142646	4	miRNA
ENSG00000207721	ENST00000384988	71533314	71533399	1	miRNA
ENSG00000266228	ENST00000584484	35368526	35368608	10	miRNA
ENSG00000221545	ENST00000408618	167967898	167967964	1	miRNA
ENSG00000265686	ENST00000408077	131130873	131130961	X	miRNA
ENSG00000263524	ENST00000582859	209098168	209098229	2	miRNA
ENSG00000212017	ENST00000390728	57254930	57255010	6	miRNA
ENSG00000221425	ENST00000408498	117447772	117447916	1	miRNA
ENSG00000238621	ENST00000459170	26988114	26988226	6	miRNA
ENSG00000265454	ENST00000580006	209234286	209234347	2	miRNA
ENSG00000222055	ENST00000410123	2763020	2763101	16	miRNA
ENSG00000215930	ENST00000401111	117637265	117637350	1	miRNA
ENSG00000265565	ENST00000584253	27115405	27115467	6	miRNA
ENSG00000216181	ENST00000401362	132353755	132353841	9	miRNA
ENSG00000207974	ENST00000385239	168344762	168344859	1	miRNA
ENSG00000266281	ENST00000583064	120305606	120305676	10	miRNA
ENSG00000207689	ENST00000384956	135560298	135560394	6	miRNA
ENSG00000264926	ENST00000578143	24255560	24255637	1	miRNA
ENSG00000263658	ENST00000581650	120390435	120390554	10	miRNA
ENSG00000264239	ENST00000578728	71607658	71607751	1	miRNA
ENSG00000221032	ENST00000408105	24554407	24554520	1	miRNA
ENSG00000266511	ENST00000584309	24606257	24606345	1	miRNA
ENSG00000221010	ENST00000408083	102323793	102323914	X	miRNA
ENSG00000221578	ENST00000408651	168717034	168717120	1	miRNA
ENSG00000265471	ENST00000584892	132425321	132425399	X	miRNA
ENSG00000212094	ENST00000390805	222186349	222186432	1	miRNA
ENSG00000221190	ENST00000408263	154612749	154612847	X	miRNA
ENSG00000265709	ENST00000579510	173926460	173926540	2	miRNA
ENSG00000221603	ENST00000408676	154687178	154687276	X	miRNA
ENSG00000211495	ENST00000390161	132880775	132880873	X	miRNA
ENSG00000264838	ENST00000581857	83940603	83940692	11	miRNA
ENSG00000264371	ENST00000580572	25349994	25350077	1	miRNA
ENSG00000238648	ENST00000458896	27599188	27599311	6	miRNA
ENSG00000263891	ENST00000585312	63361446	63361511	7	miRNA
ENSG00000238921	ENST00000459265	136235893	136235985	6	miRNA
ENSG00000222121	ENST00000410189	136298949	136299041	6	miRNA
ENSG00000266468	ENST00000577655	25732722	25732780	1	miRNA
ENSG00000265017	ENST00000582948	63387214	63387279	7	miRNA
ENSG00000221741	ENST00000408814	167297550	167297670	5	miRNA
ENSG00000263390	ENST00000577602	170120519	170120603	1	miRNA
ENSG00000221606	ENST00000408679	62056770	62056882	6	miRNA
ENSG00000221689	ENST00000408762	124439683	124439791	2	miRNA
ENSG00000266698	ENST00000581853	185772167	185772264	4	miRNA
ENSG00000264780	ENST00000579659	35930100	35930180	10	miRNA
ENSG00000264021	ENST00000580971	26232853	26232945	1	miRNA
ENSG00000266763	ENST00000584862	26238240	26238313	1	miRNA
ENSG00000272612	ENST00000608105	28743697	28743804	HSCHR6_MHC_QBL	miRNA
ENSG00000263458	ENST00000580836	185859537	185859594	4	miRNA
ENSG00000265320	ENST00000581535	26398069	26398168	1	miRNA
ENSG00000263384	ENST00000579029	170339354	170339436	1	miRNA
ENSG00000266832	ENST00000577710	76308317	76308402	1	miRNA
ENSG00000272776	ENST00000608627	28763753	28763816	HSCHR6_MHC_QBL	miRNA
ENSG00000216072	ENST00000401253	63393083	63393173	6	miRNA
ENSG00000264410	ENST00000577815	63436740	63436829	6	miRNA
ENSG00000266682	ENST00000411011	63692989	63693075	6	miRNA
ENSG00000262338	ENST00000572023	17887106	17887192	HG544_PATCH	miRNA
ENSG00000215924	ENST00000401105	171010488	171010581	1	miRNA
ENSG00000263530	ENST00000583251	211036020	211036115	2	miRNA
ENSG00000264686	ENST00000578124	77183825	77183926	1	miRNA
ENSG00000207572	ENST00000384840	133303408	133303482	X	miRNA
ENSG00000221720	ENST00000408793	77473429	77473500	1	miRNA
ENSG00000208034	ENST00000385299	133303568	133303642	X	miRNA
ENSG00000263573	ENST00000581799	15537746	15537815	3	miRNA
ENSG00000199035	ENST00000362165	167987897	167987982	5	miRNA
ENSG00000221390	ENST00000408463	171070869	171070947	1	miRNA
ENSG00000207812	ENST00000385077	133303701	133303797	X	miRNA
ENSG00000264354	ENST00000579433	15738805	15738878	3	miRNA
ENSG00000207710	ENST00000384977	133303839	133303907	X	miRNA
ENSG00000239594	ENST00000454574	133304064	133304146	X	miRNA
ENSG00000207602	ENST00000384870	133304228	133304308	X	miRNA
ENSG00000265619	ENST00000578796	186043476	186043576	4	miRNA
ENSG00000207815	ENST00000385080	15915278	15915356	3	miRNA
ENSG00000251962	ENST00000516153	133537328	133537412	X	miRNA
ENSG00000266510	ENST00000580447	175899245	175899318	2	miRNA
ENSG00000215973	ENST00000401154	176032361	176032437	2	miRNA
ENSG00000221664	ENST00000408737	77857107	77857213	1	miRNA
ENSG00000238705	ENST00000459548	26881033	26881084	1	miRNA
ENSG00000221347	ENST00000408420	176195101	176195200	2	miRNA
ENSG00000264034	ENST00000579736	16661028	16661125	3	miRNA
ENSG00000216193	ENST00000401374	176973371	176973458	2	miRNA
ENSG00000207816	ENST00000385081	65291706	65291814	8	miRNA
ENSG00000264818	ENST00000579507	16974688	16974752	3	miRNA
ENSG00000252976	ENST00000517167	17177142	17177214	3	miRNA
ENSG00000221782	ENST00000408855	213290987	213291084	2	miRNA
ENSG00000221406	ENST00000408479	224444706	224444843	1	miRNA
ENSG00000207744	ENST00000385011	177015031	177015140	2	miRNA
ENSG00000221388	ENST00000408461	213628294	213628399	2	miRNA
ENSG00000266581	ENST00000577344	87909670	87909761	11	miRNA
ENSG00000221105	ENST00000408178	135090138	135090262	9	miRNA
ENSG00000221312	ENST00000408385	65684286	65684385	6	miRNA
ENSG00000266618	ENST00000581069	224585929	224586013	1	miRNA
ENSG00000265864	ENST00000581119	2819873	2819950	16	miRNA
ENSG00000265187	ENST00000582775	66176897	66176982	6	miRNA
ENSG00000265899	ENST00000583614	65894390	65894480	2	miRNA
ENSG00000221524	ENST00000408597	66268384	66268524	2	miRNA
ENSG00000266552	ENST00000584587	53619767	53619833	14	miRNA
ENSG00000221130	ENST00000408203	88845878	88845992	11	miRNA
ENSG00000263816	ENST00000584899	135821094	135821158	9	miRNA
ENSG00000222591	ENST00000410659	66466632	66466786	2	miRNA
ENSG00000221281	ENST00000408354	67069318	67069392	6	miRNA
ENSG00000251933	ENST00000516124	224910169	224910243	1	miRNA
ENSG00000207739	ENST00000385006	168195151	168195260	5	miRNA
ENSG00000266073	ENST00000581695	67859402	67859492	6	miRNA
ENSG00000207949	ENST00000385214	172107938	172108047	1	miRNA
ENSG00000216097	ENST00000401278	138038085	138038179	6	miRNA
ENSG00000238504	ENST00000459213	133372772	133372851	11	miRNA
ENSG00000264525	ENST00000577635	66585381	66585460	2	miRNA
ENSG00000208024	ENST00000385289	172113675	172113784	1	miRNA
ENSG00000221683	ENST00000408756	79152745	79152845	1	miRNA
ENSG00000264919	ENST00000582977	133768399	133768476	11	miRNA
ENSG00000264674	ENST00000582427	133826696	133826764	11	miRNA
ENSG00000266431	ENST00000580850	54415145	54415202	14	miRNA
ENSG00000266388	ENST00000577685	79600818	79600911	1	miRNA
ENSG00000252382	ENST00000516573	187778529	187778610	4	miRNA
ENSG00000265549	ENST00000584994	29169591	29169657	HSCHR6_MHC_QBL	miRNA
ENSG00000266675	ENST00000585220	69203331	69203418	6	miRNA
ENSG00000265432	ENST00000580634	55344831	55344911	14	miRNA
ENSG00000265768	ENST00000584693	94414572	94414648	14	miRNA
ENSG00000266033	ENST00000578271	80795064	80795173	1	miRNA
ENSG00000265498	ENST00000578978	69924622	69924702	6	miRNA
ENSG00000265186	ENST00000579655	177246960	177247060	2	miRNA
ENSG00000264974	ENST00000577469	175087329	175087410	3	miRNA
ENSG00000265362	ENST00000583116	70331265	70331364	6	miRNA
ENSG00000221304	ENST00000408377	177248155	177248304	2	miRNA
ENSG00000264927	ENST00000583825	122323742	122323826	4	miRNA
ENSG00000266555	ENST00000580727	138756350	138756431	6	miRNA
ENSG00000264277	ENST00000579668	54132148	54132247	17	miRNA
ENSG00000264871	ENST00000580413	65218575	65218658	3	miRNA
ENSG00000215925	ENST00000401106	120765302	120765411	10	miRNA
ENSG00000266107	ENST00000580000	80626109	80626183	17	miRNA
ENSG00000263721	ENST00000581696	178077454	178077527	2	miRNA
ENSG00000265396	ENST00000581957	178120673	178120738	2	miRNA
ENSG00000264383	ENST00000585219	80735830	80735915	17	miRNA
ENSG00000265461	ENST00000578755	80736353	80736450	17	miRNA
ENSG00000265507	ENST00000582552	87929274	87929353	2	miRNA
ENSG00000223231	ENST00000411299	84259560	84259653	1	miRNA
ENSG00000263626	ENST00000583947	76944716	76944816	10	miRNA
ENSG00000272278	ENST00000606479	28615974	28616042	6	miRNA
ENSG00000266657	ENST00000580249	142653525	142653607	1	miRNA
ENSG00000239012	ENST00000459390	142653718	142653799	1	miRNA
ENSG00000265466	ENST00000582446	142656062	142656144	1	miRNA
ENSG00000221191	ENST00000408264	28743693	28743800	6	miRNA
ENSG00000265715	ENST00000584066	142667289	142667363	1	miRNA
ENSG00000265764	ENST00000577570	28763749	28763812	6	miRNA
ENSG00000265216	ENST00000580546	227832981	227833067	1	miRNA
ENSG00000221793	ENST00000408866	117148998	117149139	8	miRNA
ENSG00000264483	ENST00000584300	228129291	228129384	1	miRNA
ENSG00000264815	ENST00000579132	117299588	117299698	8	miRNA
ENSG00000221287	ENST00000408360	132763288	132763398	5	miRNA
ENSG00000263545	ENST00000579330	132961536	132961639	5	miRNA
ENSG00000264875	ENST00000582903	117886967	117887039	8	miRNA
ENSG00000264944	ENST00000584469	228284964	228285042	1	miRNA
ENSG00000199094	ENST00000362224	72086663	72086734	6	miRNA
ENSG00000207827	ENST00000385092	72113254	72113324	6	miRNA
ENSG00000212099	ENST00000390810	72248587	72248679	6	miRNA
ENSG00000211530	ENST00000390196	72294792	72294904	6	miRNA
ENSG00000263514	ENST00000582138	140526389	140526463	6	miRNA
ENSG00000223316	ENST00000411384	70907087	70907216	16	miRNA
ENSG00000221550	ENST00000408623	29580054	29580195	1	miRNA
ENSG00000264447	ENST00000580846	72936410	72936533	6	miRNA
ENSG00000221336	ENST00000408409	140981760	140981850	6	miRNA
ENSG00000264390	ENST00000583434	141004951	141005020	6	miRNA
ENSG00000266678	ENST00000580128	29758993	29759074	1	miRNA
ENSG00000221126	ENST00000408199	30117392	30117525	1	miRNA
ENSG00000221237	ENST00000408310	71365092	71365202	16	miRNA
ENSG00000266180	ENST00000583613	73677410	73677476	6	miRNA
ENSG00000266174	ENST00000580160	228649775	228649853	1	miRNA
ENSG00000222787	ENST00000410855	30357749	30357852	1	miRNA
ENSG00000266751	ENST00000577394	133561448	133561543	5	miRNA
ENSG00000263685	ENST00000579548	105609360	105609438	2	miRNA
ENSG00000265324	ENST00000584735	99184538	99184622	7	miRNA
ENSG00000264342	ENST00000584845	89312438	89312537	5	miRNA
ENSG00000263378	ENST00000584443	73972731	73972807	6	miRNA
ENSG00000266843	ENST00000578433	142583780	142583871	6	miRNA
ENSG00000264773	ENST00000583944	31212003	31212079	1	miRNA
ENSG00000265661	ENST00000582397	143163750	143163822	1	miRNA
ENSG00000263546	ENST00000584225	56405463	56405549	11	miRNA
ENSG00000252093	ENST00000516284	122081628	122081814	8	miRNA
ENSG00000221644	ENST00000408717	122198998	122199132	8	miRNA
ENSG00000207619	ENST00000384887	168690605	168690698	5	miRNA
ENSG00000266346	ENST00000583935	74142707	74142807	6	miRNA
ENSG00000264075	ENST00000580343	128181113	128181194	2	miRNA
ENSG00000265238	ENST00000581261	54968631	54968716	17	miRNA
ENSG00000216001	ENST00000401182	133674215	133674292	X	miRNA
ENSG00000263525	ENST00000583308	122555137	122555235	8	miRNA
ENSG00000199132	ENST00000362262	133674371	133674461	X	miRNA
ENSG00000264609	ENST00000580608	74186781	74186865	6	miRNA
ENSG00000253069	ENST00000517260	123748169	123748245	4	miRNA
ENSG00000207755	ENST00000385022	133674538	133674637	X	miRNA
ENSG00000207784	ENST00000385050	133675371	133675467	X	miRNA
ENSG00000216154	ENST00000401335	123928727	123928818	4	miRNA
ENSG00000265809	ENST00000580911	55080344	55080444	17	miRNA
ENSG00000263831	ENST00000581976	169455492	169455570	5	miRNA
ENSG00000263963	ENST00000580862	134263729	134263802	5	miRNA
ENSG00000266024	ENST00000583642	190739823	190739892	4	miRNA
ENSG00000263415	ENST00000580600	14372250	14372374	8	miRNA
ENSG00000266099	ENST00000582250	94955565	94955635	12	miRNA
ENSG00000199127	ENST00000362257	14710947	14711019	8	miRNA
ENSG00000266354	ENST00000580204	213790981	213791060	2	miRNA
ENSG00000266125	ENST00000585310	174317403	174317493	1	miRNA
ENSG00000265003	ENST00000584268	88382038	88382118	2	miRNA
ENSG00000265734	ENST00000585271	214622791	214622883	2	miRNA
ENSG00000266568	ENST00000578838	102873433	102873502	X	miRNA
ENSG00000223214	ENST00000411282	15379393	15379475	8	miRNA
ENSG00000238870	ENST00000459204	70023079	70023161	15	miRNA
ENSG00000264884	ENST00000584571	75429462	75429559	6	miRNA
ENSG00000215958	ENST00000401139	70077754	70077843	15	miRNA
ENSG00000251899	ENST00000516090	85258751	85258882	1	miRNA
ENSG00000266110	ENST00000580922	85599477	85599556	1	miRNA
ENSG00000266018	ENST00000580015	57127196	57127295	11	miRNA
ENSG00000221542	ENST00000408615	123858930	123859018	8	miRNA
ENSG00000221619	ENST00000408692	88594111	88594198	2	miRNA
ENSG00000216115	ENST00000401296	68457058	68457147	2	miRNA
ENSG00000221443	ENST00000408516	68500236	68500338	2	miRNA
ENSG00000266580	ENST00000581063	32224261	32224336	1	miRNA
ENSG00000264380	ENST00000584375	85750293	85750356	1	miRNA
ENSG00000207965	ENST00000385230	70371711	70371807	15	miRNA
ENSG00000211525	ENST00000390191	230184929	230184997	1	miRNA
ENSG00000266203	ENST00000577515	32552550	32552608	1	miRNA
ENSG00000221796	ENST00000408869	145669894	145669985	6	miRNA
ENSG00000221392	ENST00000408465	103065314	103065438	X	miRNA
ENSG00000263533	ENST00000580609	76138123	76138189	6	miRNA
ENSG00000208009	ENST00000385274	57408671	57408759	11	miRNA
ENSG00000221407	ENST00000408480	190981535	190981630	4	miRNA
ENSG00000221702	ENST00000408775	87071953	87072040	1	miRNA
ENSG00000266324	ENST00000582039	124228028	124228103	8	miRNA
ENSG00000208038	ENST00000385303	95228174	95228289	12	miRNA
ENSG00000266309	ENST00000579596	88673658	88673758	2	miRNA
ENSG00000252131	ENST00000516322	231124735	231124869	1	miRNA
ENSG00000221290	ENST00000408363	231155574	231155670	1	miRNA
ENSG00000207704	ENST00000384971	124360274	124360370	8	miRNA
ENSG00000252896	ENST00000517087	45009185	45009269	2	miRNA
ENSG00000266811	ENST00000584879	143424141	143424215	1	miRNA
ENSG00000272302	ENST00000607106	143437327	143437409	1	miRNA
ENSG00000263897	ENST00000585099	137271257	137271318	9	miRNA
ENSG00000202609	ENST00000365739	176998499	176998581	1	miRNA
ENSG00000222749	ENST00000410817	177155496	177155588	1	miRNA
ENSG00000221413	ENST00000408486	127383547	127383653	3	miRNA
ENSG00000251969	ENST00000516160	79671213	79671289	6	miRNA
ENSG00000264716	ENST00000584718	65926922	65927022	3	miRNA
ENSG00000238393	ENST00000458850	135048808	135048905	5	miRNA
ENSG00000221067	ENST00000408140	128081008	128081101	3	miRNA
ENSG00000266393	ENST00000390740	177522005	177522095	1	miRNA
ENSG00000252813	ENST00000517004	71767826	71767901	15	miRNA
ENSG00000263840	ENST00000579104	135136918	135137003	5	miRNA
ENSG00000265924	ENST00000585309	135138674	135138764	5	miRNA
ENSG00000265520	ENST00000584165	17539087	17539166	8	miRNA
ENSG00000220999	ENST00000408072	88762285	88762370	2	miRNA
ENSG00000264877	ENST00000581079	137740819	137740966	9	miRNA
ENSG00000212055	ENST00000390766	216743556	216743642	2	miRNA
ENSG00000222161	ENST00000410229	105104682	105104755	X	miRNA
ENSG00000221423	ENST00000408496	33391895	33392000	1	miRNA
ENSG00000265286	ENST00000582742	137741021	137741098	9	miRNA
ENSG00000264744	ENST00000581239	137741144	137741215	9	miRNA
